LAMMPS Data file -- Created in:07/11/24

20000 atoms
3 atom types
20000 bonds
3 bond types
20000 angles
3 angle types
20000 dihedrals
3 dihedral types


-1.0 361.0 xlo xhi
-1.0 361.0 ylo yhi
-1.0 361.0 zlo zhi


Atoms # angle

1 2 2 192.7222137451172 9.81726360321045 0.7240484952926636 
2 2 2 314.20379638671875 39.238685607910156 291.64996337890625 
3 2 2 202.68478393554688 0.8484514355659485 101.7185287475586 
4 2 2 28.572738647460938 53.5766487121582 18.600940704345703 
5 2 2 49.72407913208008 135.6891326904297 21.165973663330078 
6 2 2 20.584012985229492 160.89297485351562 10.997523307800293 
7 2 2 35.393455505371094 282.56597900390625 223.6213836669922 
8 2 2 24.194843292236328 309.7103576660156 12.999961853027344 
9 2 2 143.3448944091797 23.572856903076172 11.814775466918945 
10 2 2 274.4112548828125 46.915443420410156 147.95578002929688 
11 2 2 37.85131072998047 36.262725830078125 194.44094848632812 
12 2 2 232.0532989501953 347.8502197265625 97.90097045898438 
13 2 2 298.05291748046875 81.24198913574219 67.07243347167969 
14 2 2 204.7682647705078 6.954001426696777 61.17609786987305 
15 2 2 45.64769744873047 175.85177612304688 152.61294555664062 
16 2 2 3.9336299896240234 1.4763448238372803 39.75312805175781 
17 2 2 16.878454208374023 49.38684844970703 116.9884262084961 
18 2 2 43.43038558959961 5.570509910583496 168.0834197998047 
19 2 2 166.15553283691406 65.00235748291016 87.27193450927734 
20 2 2 346.766845703125 248.1337127685547 0.11676649749279022 
21 2 2 196.0631103515625 23.71957778930664 335.20013427734375 
22 2 2 4.047362804412842 42.82814407348633 305.296875 
23 2 2 26.61698341369629 4.475245475769043 92.77381896972656 
24 2 2 21.282503128051758 232.2065887451172 9.889922142028809 
25 2 2 0.02013932727277279 105.99641418457031 39.723899841308594 
26 2 2 28.907068252563477 25.524860382080078 282.55889892578125 
27 2 2 63.9539794921875 307.6202392578125 208.62686157226562 
28 2 2 5.534972190856934 80.10587310791016 29.49825668334961 
29 2 2 150.22633361816406 296.5296630859375 13.877789497375488 
30 2 2 163.96926879882812 290.42291259765625 101.89911651611328 
31 2 2 120.71452331542969 4.3762993812561035 58.609947204589844 
32 2 2 136.13223266601562 1.117821455001831 85.61070251464844 
33 2 2 4.635715484619141 112.091064453125 137.68264770507812 
34 2 2 167.70506286621094 41.352535247802734 189.64865112304688 
35 2 2 231.3103790283203 3.258549213409424 77.26039123535156 
36 2 2 47.03054428100586 4.262534141540527 111.34120178222656 
37 2 2 327.11944580078125 271.792236328125 299.7041931152344 
38 2 2 272.4078369140625 339.83941650390625 17.424636840820312 
39 2 2 209.3402557373047 348.16204833984375 0.08246250450611115 
40 2 2 65.57047271728516 182.01148986816406 185.9325408935547 
41 2 2 299.6060485839844 23.31756019592285 183.83834838867188 
42 2 2 341.7117919921875 48.020606994628906 0.5135701894760132 
43 2 2 103.83723449707031 235.28854370117188 2.476898431777954 
44 2 2 0.41357144713401794 130.15330505371094 1.9824988842010498 
45 2 2 85.90511322021484 151.85040283203125 301.6663818359375 
46 2 2 38.32324981689453 268.320068359375 0.006094199139624834 
47 2 2 203.39544677734375 120.26405334472656 258.08880615234375 
48 2 2 147.86502075195312 127.4990463256836 241.2210235595703 
